Nordwind und Sonne	18
Einst stritten sich Nordwind und Sonne, wer von ihnen beiden wohl der Stärkere wäre, als ein Wanderer, der in einen warmen Mantel gehüllt war, des Weges daherkam.	162
Sie wurden einig, dass derjenige für den Stärkeren gelten sollte, der den Wanderer zwingen würde, seinen Mantel abzunehmen.	123
Der Nordwind blies mit aller Macht, aber je mehr er blies, desto fester hüllte sich der Wanderer in seinen Mantel ein.	118
Endlich gab der Nordwind den Kampf auf.	39
Nun erwärmte die Sonne die Luft mit ihren freundlichen Strahlen, und schon nach wenigen Augenblicken zog der Wanderer seinen Mantel aus.	136
Da musste der Nordwind zugeben, dass die Sonne von ihnen beiden der Stärkere war.	81
Zählen	6
hoch	4
runter	6
Hallo	5
Grüße	5
Hi	2
Welt	4
Erde	4
Der Zähler ist jetzt bei dreißig	32
Wir sind jetzt bei fünfundreßig	31
Hallo	5
Hallo zurück	12
OK	2
Automatische Lautstärke aktiviert	33
Ich habe die automatische Lautstärke aktiviert	46
Aktiviere die automatische Lautstärke	37
Setze die automatische Lautstärke auf aktiv	43
Schalte die automatische Lautstärke an	38
Stelle die automatische Lautstärke auf an	41
Die Automatische Lautstärke ist deaktiviert	43
Ich habe die automatische Lautstärke nun deaktiviert	52
Deaktiviere die automatische Lautstärke	39
Stelle die automatische Lautstärke auf inaktiv	46
Schalte die automatische Lautstärke aus	39
Stelle die automatische Lautstärke auf aus	42
Ich habe die automatische Lautstärke nun zurückgesetzt	54
Deaktiviere die automatische Lautstärkemessung	46
Lösche die automatische Lautstärkemessung	41
Setze die automatische Lautstärkemessung zurück	47
Hier sind die Gute Nacht Geschichten aus meiner Bibliothek.	62
Liste die Gute-Nacht-Geschichten auf	36
Welche Geschichten hast du	26
Welche Gute Nacht Geschichten hast du	37
Okay, lass mich sehen, ob ich diese Geschichte habe.	52
erzähl mir Herr der Ringe	25
lies mir Harry potter vor	25
lies mir die Biebel vor	23
Erzähl mir ein Märchen	22
Okay, sicher. Hier ist eine große Auswahl aus meiner Bibliothek.	64
Kein Problem, mach es dir bequem während ich eine Geschichte auswähle.	70
Erzähl mir eine Geschichte	26
Erzähl mir eine Gute Nacht Geschichte	37
Erzähl mir ein Märchen	22
Erzähl uns eine Geschichte	26
Erzähl mir eine gute Geschichte	31
Rotkäppchen	11
Goldlöckchen und die drei Bären	31
Hänsel und Gretel	17
Das Samtkaninchen	17
Rumpelstilzchen	15
Des Königs neue Kleider	23
Die Prinzessin auf der Erbse	28
Die Wichtelmänner	17
Peter Hase	10
Es ward die Nacht vor Weihnachten	33
aktiviere	9
starte	6
rufe	4
Auslöser	8
Szene	5
Automatisierung	15
Skript	6
reduziere	9
herunter	8
wo	2
orte	4
erhöhe	6
herauf	6
heller machen	13
trüb	4
Licht	5
Lichter	7
Lampe	5
Lampen	6
Glühbirne	9
Glühbirnen	10
LED	3
einschalten	11
schalte	7
schalten	8
Zustand	7
Status	6
Sensor	6
De­tek­tor	10
Wert	4
lies	4
wie ist der aktuelle	20
was ist aktuell	15
sage mir den aktuellen	22
sage mir aktuelles	18
setze	5
drehe	5
Aktiviere Wohnzimmer	20
